,chave,ativo,tipo_periodo,data,ativo_circulante,aplicacoes,caixa,contas_a_receber,estoque,ativo_nao_circulante,investimentos,imobilizado,intangivel,passivo_circulante,dividas_curto_prazo,fornecedores,passivo_nao_circulante,dividas_longo_prazo
0,PETR4Trimestral,PETR4,Trimestral,2022-06-30,224785000000.0,14957000000.0,85311000000.0,33119000000.0,49822000000,779969000000.0,9250000000.0,667423000000.0,16919000000.0,171157000000.0,21560000000.0,28954000000.0,420745000000.0,141084000000.0
1,PETR4Trimestral,PETR4,Trimestral,2022-03-31,199512000000.0,5967000000.0,81601000000.0,33024000000.0,48351000000,799150000000.0,9858000000.0,687051000000.0,16844000000.0,130222000000.0,17957000000.0,28029000000.0,431379000000.0,149862000000.0
2,PETR4Trimestral,PETR4,Trimestral,2021-12-31,168247000000.0,,58410000000.0,43049000000.0,40486000000,804704000000.0,8674000000.0,699406000000.0,16756000000.0,134913000000.0,20316000000.0,30597000000.0,448457000000.0,178908000000.0
3,PETR4Trimestral,PETR4,Trimestral,2021-09-30,166334000000.0,2920000000.0,59394000000.0,33557000000.0,39577000000,808355000000.0,10493000000.0,703868000000.0,16476000000.0,138664000000.0,18588000000.0,29502000000.0,460336000000.0,181125000000.0
4,PETR4Anual,PETR4,Anual,2021-12-31,168247000000.0,,58410000000.0,43049000000.0,40486000000,804704000000.0,8674000000.0,699406000000.0,16756000000.0,134913000000.0,20316000000.0,30597000000.0,448457000000.0,178908000000.0
5,PETR4Anual,PETR4,Anual,2020-12-31,142323000000.0,3424000000.0,60856000000.0,38067000000.0,29500000000,845096000000.0,17237000000.0,645434000000.0,77553000000.0,136287000000.0,21751000000.0,35645000000.0,539982000000.0,258287000000.0
6,PETR4Anual,PETR4,Anual,2019-12-31,112101000000.0,3580000000.0,29714000000.0,27214000000.0,33009000000,813910000000.0,22398000000.0,641949000000.0,78237000000.0,116147000000.0,18013000000.0,22576000000.0,510727000000.0,236969000000.0
7,PETR4Anual,PETR4,Anual,2018-12-31,143606000000.0,4198000000.0,53854000000.0,30147000000.0,34822000000,716867000000.0,10895000000.0,609829000000.0,10084000000.0,97068000000.0,14207000000.0,24516000000.0,479862000000.0,311954000000.0
8,QUAL3Trimestral,QUAL3,Trimestral,2022-06-30,1712178000.0,0.0,824680000.0,382886000.0,0,3222556000.0,128281000.0,53328000.0,929920000.0,1080938000.0,414440000.0,235365000.0,2446684000.0,2184840000.0
9,QUAL3Trimestral,QUAL3,Trimestral,2022-03-31,1203556000.0,0.0,376078000.0,369272000.0,0,3197229000.0,130556000.0,55886000.0,910800000.0,2510154000.0,1723860000.0,233431000.0,536637000.0,289891000.0
10,QUAL3Trimestral,QUAL3,Trimestral,2021-12-31,1249373000.0,0.0,449462000.0,344392000.0,0,3154208000.0,131063000.0,55113000.0,881103000.0,2618127000.0,1055160000.0,229039000.0,510405000.0,289783000.0
11,QUAL3Trimestral,QUAL3,Trimestral,2021-09-30,1774794000.0,0.0,852192000.0,449471000.0,0,2986409000.0,133198000.0,53037000.0,837926000.0,2577393000.0,1853042000.0,352914000.0,505701000.0,289674000.0
12,QUAL3Anual,QUAL3,Anual,2021-12-31,1249373000.0,0.0,449462000.0,344392000.0,0,3154208000.0,131063000.0,55113000.0,881103000.0,2618127000.0,1055160000.0,229039000.0,510405000.0,289783000.0
13,QUAL3Anual,QUAL3,Anual,2020-12-31,1633821000.0,0.0,418767000.0,788671000.0,0,2773157000.0,262000.0,43905000.0,732297000.0,1158395000.0,17286000.0,680174000.0,1578817000.0,1298397000.0
14,QUAL3Anual,QUAL3,Anual,2019-12-31,894234000.0,0.0,201050000.0,207403000.0,0,2463153000.0,262000.0,133963000.0,624156000.0,475093000.0,34340000.0,115261000.0,1489681000.0,1296060000.0
15,QUAL3Anual,QUAL3,Anual,2018-12-31,981666000.0,0.0,137446000.0,264442000.0,0,2567647000.0,,54508000.0,781145000.0,1047885000.0,615726000.0,241286000.0,146935000.0,
16,BBAS3Trimestral,BBAS3,Trimestral,2022-06-30,653042062000.0,0.0,31052201000.0,8888363000.0,0,1394345231000.0,466570668000.0,12796687000.0,6895507000.0,1527043071000.0,675909716000.0,718460484000.0,364557479000.0,284269949000.0
17,BBAS3Trimestral,BBAS3,Trimestral,2022-03-31,683467810000.0,0.0,17172960000.0,7710590000.0,0,1314954493000.0,420510900000.0,12875589000.0,6913470000.0,1502227152000.0,719353867000.0,662208626000.0,344218934000.0,271562229000.0
18,BBAS3Trimestral,BBAS3,Trimestral,2021-12-31,242688707000.0,0.0,49065276000.0,11211519000.0,0,1689844272000.0,836177253000.0,8541236000.0,7031258000.0,1487773167000.0,716908386000.0,702448481000.0,299902626000.0,168213018000.0
19,BBAS3Trimestral,BBAS3,Trimestral,2021-09-30,237440556000.0,0.0,50200020000.0,12510194000.0,0,1737966318000.0,923509319000.0,7987716000.0,5044801000.0,1514572502000.0,759231794000.0,689519893000.0,313322447000.0,170117288000.0
